http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/title,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/source,http://purl.org/dc/terms/abstract,http://purl.org/dc/terms/date,http://purl.obolibrary.org/obo/IAO_0000136,http://purl.obolibrary.org/obo/IAO_00001362,
87, Comparative Evaluation of the Internal and Marginal Adaptations of CAD/CAM Endocrowns and Crowns Fabricated from Three Different Materials,"M. Hasanzade, M. Sahebi, S. Zarrati, L. Payaminia and M. Alikhasi", Int J Prosthodont," PURPOSE: To evaluate and compare the internal and marginal adaptations of chairside CAD/CAM (CEREC) endocrowns and crowns fabricated from lithium disilicate glass-ceramic (IPS e.max CAD), zirconia-reinforced lithium silicate glass-ceramic (VITA Suprinity), and hybrid ceramic (VITA Enamic). MATERIALS AND METHODS: Dental models of the two first maxillary molars were selected. One was prepared for an endocrown, and the other for a standard all-ceramic crown. A total of 72 CAD/CAM restorations, including 36 endocrowns and 36 crowns made of IPS e.max CAD, VITA Suprinity, and VITA Enamic (n = 12 each), were fabricated. Discrepancies were measured in the buccal, mesial, lingual, and distal aspects of three sites (marginal, mid-axial wall, and occlusal/floor) using the noncontact ATOS scanner. Statistical analysis was performed using MANOVA and between-subject effects tests (α = .05). RESULTS: Mesial axial wall discrepancy was significantly lower in endocrowns compared to occlusal discrepancy in crowns, while distal axial wall discrepancy was significantly higher. Moreover, floor discrepancy was found to be significantly lower in endocrowns compared to crowns. However, type of material had no significant effect on any kind of discrepancy. CONCLUSION: The marginal and internal adaptation values were within a clinically acceptable range for both kinds of restoration and all three materials. However, restoration type (crown vs endocrown) was significantly different in the mesial and distal axial wall and occlusal/floor discrepancies, regardless of restoration material.",2021,1,0,
296, Influence of different cavity preparation designs on fracture resistance of onlay and overlay restorations using different CAD/CAM materials,"G. Ön Salman, H. Tacír Ɣ, Z. S. Polat and A. Salman", Am J Dent," PURPOSE: To evaluate fracture strength of different preparation designed onlay and overlay restorations produced by Computer Aided Design/Computer Aided Manufacturing (CAD/CAM) and three different new ceramic-polymer blocks. METHODS: Ninety-one extracted human mandibular molars were used in this study. Preparations were made as (1) Only functional cusps reduction, (2) Only functional cusps reduction+rounded shoulder finish line, (3) All cusps reduction, or (4) All cusps reduction+rounded shoulder finish line. Then these four cavity types were restored with three different materials: VITA Enamic, GC Cerasmart, Lava Ultimate. Thirteen groups were created by added control group (n= 7). Adhesive cementation was achieved by using a dual cured composite resin adhesive cement RelyX Ultimate. All samples were subjected to thermocycling for 5,000 cycles in water baths between 50°C and 55°C. The fracture resistance of specimens was determined under compressive loads along the long axis of the restored teeth at 0.5 mm/minute crosshead speed until fracture with a universal test machine. Fracture types of restored groups were evaluated. For fracture resistance data, one-way ANOVA; for correlation between material type and preparation design, two-way ANOVA were used. Percentage table and Kruskal-Wallis test were performed for analysis of fracture types. RESULTS: There was no significant difference between all the groups (one-way ANOVA, P> 0.05). Group 4 showed statistically higher fracture strength values than Group 1 and no significant difference was found among other preparation designs by two-way ANOVA that compared all types of preparation designs regardless of material difference (P< 0.05). CLINICAL SIGNIFICANCE: The results of the present study could help clinicians regarding which materials and type of preparations should be selected for onlay and overlay restorations produced with newly introduced ceramic-polymer CAD/CAM materials.",2017,1,0,
341," Luting of inlays, onlays, and overlays with preheated restorative composite resin does not prevent seating accuracy","P. Magne, M. Razaghy, M. A. Carvalho and L. M. Soares", Int J Esthet Dent," PURPOSE: To evaluate in vitro the vertical seating of computer-assisted design/computer-assisted manufacturing (CAD/CAM) composite resin inlays, onlays, and overlays luted with two different composite resins. MATERIALS AND METHODS: Sixty plastic typodont molars were prepared for medium-sized MOD inlays, anatomic onlays, and flat overlays (n = 20); 3-mm thick at the central groove with similar morphology (Cerec biogeneric copy). Restorations were milled using Lava Ultimate blocks, and included standardized hemispherical occlusal concavity for seating measurements with an electromechanic system (force = 30 N). Restorations were luted either with preheated composite resin (Filtek Z100) or dual-cure resin cement (RelyX Ultimate). Seating of restorations was first evaluated at try-in (baseline). Seating was reevaluated after airborne-particle abrasion (Step 1), after seating with luting agent (Step 2), and after light polymerization (Step 3). The Friedman test followed by the Wilcoxon post hoc test were used to compare the seating among steps, and the Kruskal-Wallis test followed by the Mann-Whitney post hoc test were used to compare the seating between luting agents at P < 0.05. RESULTS: Seating differences varied significantly from baseline (P < 0.0125). All restorations seated 3.85 µm (inlays) to 5.45 µm (onlays) deeper after airborne-particle abrasion (Step 1) (P < 0.007). Except for cement-luted inlays, the try-in position (±1 µm) was recovered following unpolymerized luting (Step 2). After polymerization (Step 3), onlays and overlays seated 2.9 to 3.9 µm deeper than during try-in (baseline) using Z100 (P < 0.005), and 7.0 to 7.3 µm deeper using RelyX (P = 0.005). Inlays luted with RelyX seated higher than during try-in (baseline), exactly 7.9 µm after Step 2 (P = 0.005), and 7.7 µm after Step 3 (P = 0.008). Luting with Z100 sustained the seating of inlays with no statistical difference when compared to baseline (P = 0.157). CONCLUSION: Airborne-particle abrasion significantly deepens the seating of CAD/CAM composite resin restorations, but the presence of unpolymerized restorative composite resin luting agent perfectly compensates for this discrepancy. Following polymerization, onlays and overlays seat deeper compared to inlays, especially when using RelyX. The latter, however, resulted in a slightly higher seating of inlays. CLINICAL SIGNIFICANCE: With the least variation compared to baseline seating (try-in), restorative composite resin used as luting agent resulted in the seating of CAD/CAM inlays, onlays, and overlays closer to baseline when compared to dual-cure resin cement.",2018,0,1,
480, Survival of resin infiltrated ceramics under influence of fatigue,M. N. Aboushelib and M. H. Elsafi, Dent Mater," PURPOSE: to evaluate influence of cyclic fatigue on two resin infiltrated ceramics and three all-ceramic crowns manufactured using CAD/CAM technology. MATERIALS AND METHODS: CAD/CAM anatomically shaped crowns were manufactured using two resin infiltrated ceramics (Lava Ultimate and Vita Enamic), two reinforced glass ceramic milling blocks ((IPS)Empress CAD and (IPS)e.max CAD) and a veneered zirconia core ((IPS)Zir CAD). (IPS)e.max CAD and (IPS)Zir CAD were milled into 0.5mm thick anatomically shaped core structure which received standardized press-on veneer ceramic. The manufactured crowns were cemented on standardized resin dies using a resin adhesive (Panavia F2.0). Initial fracture strength of half of the specimens was calculated using one cycle load to failure in a universal testing machine. The remaining crowns were subjected to 3.7 million chewing cycles (load range 50-200N at 3s interval) in a custom made pneumatic fatigue tester. Survival statistics were calculated and Weibull modulus was measured from fitted load-cycle-failure diagrams. Scanning electron microscopy was performed to fractographically analyze fractured surfaces. Data were analyzed using two way analysis of variance and Bonferroni post hoc tests (α=0.05). RESULTS: Dynamic fatigue resulted in significant reduction (F=7.54, P<0.005) of the initial fracture strength of the tested specimens. Zirconia showed the highest deterioration percent (34% reduction in strength) followed by (IPS)Empress (32.2%), (IPS)e.max (27.1%) while Lava Ultimate and Vita Enamic showed the lowest percent of reduction in strength. The two types of resin infiltrated ceramics and (IPS)Empress demonstrated the highest percent of fracture incidences under the influence of fatigue (35-45% splitting). None of the tested veneered zirconia restorations were fractured during testing, however, chipping of the veneer ceramics was observed in 6 crowns. The lowest percent of failure was observed for (IPS)e.max crowns manifested as 3 cases of minor chipping in addition to two complete fracture incidences. SEM images demonstrated the internal structure of the tested materials and detected location and size of the critical crack. CONCLUSION: The internal structure of the tested materials significantly influenced their fatigue behavior. Resin infiltrated ceramics were least influenced by fatigue while the characteristic strength of zirconia prevented core fracture but failure still occurred from the weaker veneer ceramic.",2016,1,0,
377, Microtensile bond strength and interfacial properties of self-etching and self-adhesive resin cements used to lute composite onlays under different seating forces,"C. Goracci, A. H. Cury, A. Cantoro, F. Papacchini, F. R. Tay and M. Ferrari", J Adhes Dent," PURPOSE: To evaluate strength and morphology of the interface created on enamel and dentin by Panavia F 2.0 (P, Kuraray), RelyX Unicem (RU, 3M ESPE), and Maxcem (M, Sybron-Kerr), applied under two standardized clinically realistic seating pressures. MATERIALS AND METHODS: Composite overlays (Paradigm MZ100, 3M ESPE) were luted on flat enamel or dentin surfaces of 48 extracted molars. During the initial 5-min self-curing period, a pressure of either 20 or 40 g/mm(2) was maintained on the overlay. Curing was completed by light irradiation from the top of the overlay for 20 s. Microtensile sticks and specimens for SEM observations were obtained from the luted teeth. Bond strength data from enamel and dentin (MPa) were analyzed with separate two-way ANOVAs in order to assess the effect of cement type, luting pressure, and their interactions. Tukey's test was used for post-hoc comparisons (alpha = 0.05). RESULTS: The bond strengths (MPa) to dentin were: P 20 g/mm(2) 7.5 +/- 3.7, 40 g/mm(2) 10.9 +/- 4.5; RU 20 g/mm(2) 6.8 +/- 2.6, 40 g/mm(2) 14.5 +/- 5.3; M 20 g/mm(2) 4.1 +/- 1.8, 40 g/mm(2) 5.2 +/- 1.6. The bond strengths (MPa) to enamel were: P 20 g/mm(2) 25.2 +/- 9.0, 40 g/mm(2) 30.7 +/- 8.6; RU 20 g/mm(2) 10.7 +/- 4.9, 40 g/mm(2) 11.1 +/- 5; M 20 g/mm(2) 7.3 +/- 3.1, 40 g/mm(2) 7.9 +/- .2. Cement type, luting pressure, and the interaction of these two factors had significant influences on dentin bond strength, with RU and P outperforming M. RU and P significantly benefited from the increase in luting pressure. In enamel, the type of cement was a significant factor for adhesion, with P yielding the highest and M the lowest strength. The measured bond strengths corresponded with the morphological results. CONCLUSION: Interfacial strength and adaptation of self-etching and self-adhesive dual-curing cements are enhanced if a seating force greater than finger pressure is maintained throughout the initial self-curing period.",2006,0,1,
129, Effect of dental restorative materials surface roughness on the in vitro biofilm formation of Streptococcus mutans biofilm,"P. Contreras-Guerrero, M. Ortiz-Magdaleno, M. S. Urcuyo-Alvarado, J. A. Cepeda-Bravo, D. Leyva-Del Rio, J. E. Pérez-López, G. F. Romo-Ramírez and L. O. Sánchez-Vargas", Am J Dent," PURPOSE: To evaluate Streptococcus mutans biofilm formation over different restorative dental materials. METHODS: Using a bioreactor over 72 hours, four commercially available ceramics were evaluated: IPS E-max Press, IPS E-max CAD, Lava Ultimate CAD-CAM, Vita Enamic and two resin composites (SR Nexco Paste and Brilliant NG). The results were evaluated using atomic force microscopy and confocal microscopy, the biofilm was stained and the arbitrary fluorescence units (AFU) quantified. RESULTS: The results showed that IPS E-max CAD had the lowest roughness values (4.29±1.79 nm), while the highest values were observed for Vita Enamic discs ( (77.13±17.35 nm). Analysis of S. mutans biofilm formation by AFU revealed lower values for IPS E-max CAD (6.77±1.67 nm); the highest values were found for Lava Ultimate (79.99±22.23 nm). Regarding the composite groups, SR Nexco Paste showed roughness values of 15.07±2.77 nm and lower arbitrary fluorescence units of 30.92±12.01 nm than Brilliant NT. There was a correlation between the surface roughness of ceramics and composite with S. mutans biofilm formation. CLINICAL SIGNIFICANCE: The adhesion of oral bacteria to restorative dental materials plays a key role in the success of dental treatment; the surface roughness influences the S. mutans biofilm formation.",2020,1,0,
366, Mechanical stability of zirconia meso-abutments bonded to titanium bases restored with different monolithic all-ceramic crowns,"J. Pitta, S. P. Hicklin, V. Fehmer, J. Boldt, P. C. Gierthmuehlen and I. Sailer", Int J Oral Maxillofac Implants," PURPOSE: To evaluate the bending moments and failure modes of zirconia meso-abutments bonded to titanium bases restored with different monolithic all-ceramic crowns after aging, and to compare them to titanium abutments restored with all-ceramic crowns. MATERIALS AND METHODS: Forty-eight internal conical connection implants (Conelog, Camlog 4.3 mm diameter) were restored with four different computer-aided design/computed-aided manufacturing (CAD/CAM) abutment-crown combinations (n = 12). Thirty-six customized zirconia meso-abutments were bonded to titanium bases (Conelog Titanium Base CAD/CAM crown, Camlog) and divided into three groups according to the different crown materials: (T1) monolithic lithium-disilicate (e-max CAD, Ivoclar), (T2) monolithic PICN (polymer-infiltrated ceramic network [Enamic, Vita]), and (T3) monolithic zirconia (Lava Plus, 3M ESPE). Twelve titanium customized abutments restored with monolithic lithium-disilicate (e-max CAD, Ivoclar) crowns served as the control group (C). The crowns were equal maxillary central incisors and were adhesively bonded with a resin-based cement (Panavia 21, Kuraray). All samples were embedded in acrylic holders. After aging (1,200,000 cycles, 49 N, 1.67 Hz, 5°C to 50°C, 120 seconds), static load was applied until failure. Bending moments were calculated for comparison of the groups. Data were statistically treated with one-way analysis of variance (ANOVA) followed by Tukey post hoc test (P < .05). Failure modes were analyzed descriptively. RESULTS: The means of the bending moments were 356.4 ± 20.8 Ncm (T1), 357.7 ± 26.3 Ncm (T2), 385.5 ± 21.2 Ncm (T3), and 358.8 ± 25.3 Ncm (C). Group T3 revealed significantly higher mean bending moments than the other groups (P < .05). No differences were found between zirconia meso-abutments supported by titanium bases and customized titanium abutments when lithium-disilicate crowns were used (P > .05). No failures were identified during and after aging. After static load, failures occurred due to fracture of the abutment in the internal connection in all the groups. CONCLUSION: Zirconia meso-abutments bonded to titanium bases showed similar mechanical stability compared with customized titanium abutments. Regarding the crown material, all three tested ceramics (lithium-disilicate, PICN, and zirconia) revealed very good stability when used in the monolithic state.",2019,1,0,
453, Shear Bond Strength of Repair Systems to New CAD/CAM Restorative Materials,"Ö. Üstün, I. K. Büyükhatipoğlu and A. Seçilmiş", J Prosthodont," PURPOSE: To evaluate the bond strength of repair systems (Ceramic Repair, Clearfil Repair) to computer-aided design/computer-assisted machining (CAD/CAM) restorative materials (IPS e.max CAD, Vita Suprinity, Vita Enamic, Lava Ultimate). MATERIALS AND METHODS: Thermally aged CAD/CAM restorative material specimens (5000 cycles between 5°C and 55°C) were randomly divided into two groups according to the repair system: Ceramic Repair (37% phosphoric acid + Monobond-S + Heliobond + Tetric N Ceram) or Clearfil Repair (40% phosphoric acid + mixture of Clearfil Porcelain Bond Activator and Clearfil SE Bond Primer + Clearfil SE Bond + Filtek Z250). The resin composite was light-cured on conditioned specimens. All specimens were stored in distilled water at 37°C for 24 hours and then additionally aged for 5000 thermal cycles. The shear bond strength test was performed using a universal testing machine (0.5 mm/min). Two-way ANOVA was used to detect significance differences according to the CAD/CAM material and composite repair system factors. Subgroup analyses were conducted using the least significant difference post-hoc test. RESULTS: The results of two-way ANOVA indicated that bond strength values varied according to the restorative materials (p < 0.05). No significant differences were observed between the CAD/CAM restorative materials (p > 0.05), except in the Vita Suprinity group (p < 0.05). Moreover, no differences were observed between the repair systems. CONCLUSIONS: Both the Clearfil and Ceramic repair systems used in the study allow for successful repairs.",2018,0,0,
390, Monolithic Polymer-Infiltrated Ceramic Network CAD/CAM Single Crowns: Three-Year Mid-Term Results of a Prospective Clinical Study,"F. A. Spitznagel, K. J. Scholz, K. Vach and P. C. Gierthmuehlen", Int J Prosthodont," PURPOSE: To evaluate the clinical outcomes of monolithic CAD/CAM-fabricated polymer-infiltrated ceramic network (PICN) single crowns (SC) after 3 years. MATERIALS AND METHODS: A total of 34 patients who received 76 single crowns were included in this cohort study. Full-coverage crown preparation with reduced thickness (1.0 to 1.5 mm) was applied. All monolithic PICN SCs (VITA Enamic) were manufactured using a CAD/CAM system and adhesively seated. Clinical follow-up evaluations were performed at 6, 12, 24, and 36 months after insertion using modified United States Public Health Service (USPHS) criteria. Kaplan-Meier survival and success methods were applied to calculate absolute and relative failures. To determine effects of time and restoration, a mixed logit model was adjusted for the modified USPHS criteria (P < .05). RESULTS: PICN SCs revealed an estimated Kaplan-Meier survival rate of 93.9% after 3 years. Four clinically unacceptable fractures occurred, which resulted in replacement of the affected SCs. Neither secondary caries nor debonding were recorded. The 3-year Kaplan-Meier success rate was 92.7%. Significant increases in marginal discoloration (P = .0002) and surface roughness (P < .0001) were noted over time. Color match, anatomical form, and marginal adaptation remained favorable over the given observation period. CONCLUSION: PICN CAD/CAM crowns with reduced thickness showed acceptable survival and success rates over a service time of 36 months. However, extended clinical follow-up periods are needed to evaluate the long-term performance.",2020,1,0,
118, Effect of Aging Regimens on Resin Nanoceramic Chairside CAD/CAM Material,"F. A. Al-Harbi, N. M. Ayad, A. S. ArRejaie, H. A. Bahgat and N. Z. Baba", J Prosthodont," PURPOSE: To evaluate the effect of cyclic mechanical loading, thermal cycling, and storage in water on a resin nanoceramic chairside computer-aided designed/computer-aided manufactured (CAD/CAM) material compared to a control leucite-reinforced glass-ceramic material. MATERIALS AND METHODS: One hundred twenty specimens (18 × 4 × 3 mm) were milled from two chairside CAD/CAM materials' blocks (Lava Ultimate: LU; Vitablock Mark II: VM). Each group included four subgroups (A: n = 20 control; B: n = 20 cyclic loading [105 cycles, 80 N]; C: n = 20 thermal cycling [5 to 55°C]; D: n = 60 water storage [20: 3 months; 20: 6 months; 20: 9 months at 37°C]). Each subgroup included 10 specimens tested for flexure strength using three-point bending in a universal testing machine. The other 10 specimens were tested for surface roughness using an automated profiler followed by testing for surface hardness using a microhardness tester. RESULTS: LU displayed higher flexure strength than VM before and after all the aging conditions. The surface roughness for VM was lower than LU for the control, but both materials showed comparable values and significant increases after 9 months storage in water. After cyclic loading, only VM displayed a significant increase in the surface roughness value (p < 0.05). The surface hardness of VM was higher than LU for the control. VM did not show significant changes in hardness after any aging condition. LU showed significant reduction in surface hardness value only after storage in water (p < 0.05). CONCLUSION: The resin nanoceramic Lava Ultimate can be used as a durable substitute for glass-ceramic chairside CAD/CAM material.",2017,1,0,
379, Microtensile Bond Strength Between Resin-Matrix CAD/CAM Ceramics and Resin Cement after Various Surface Modifications and Artificial Aging,"C. Papadopoulos, D. Dionysopoulos, K. Pahinis, E. Koulaouzidou and K. Tolidis", J Adhes Dent," PURPOSE: To evaluate the effect of different surface modification methods on the microtensile bond strength (μTBS) of four resin-matrix CAD/CAM ceramics after artificial aging. MATERIALS AND METHODS: Specimens of four CAD/CAM materials (Shofu Block HC, Lava Ultimate, Brilliant Crios, and Vita Enamic) were prepared and divided into four groups. Each group received one of the following treatments: group 1 (INT): no surface modification; group 2: sandblasting with 29-μm Al2O3 particles (SB); group 3: hydrofluoric acid etching (9%) + silane (HF+Si); group 4: sandblasting with 30-μm particles of the CoJet system (CJ). The specimens of each group were luted together in pairs using resin cement (RelyX Ultimate). After one week of water storage (37°C), the sandwich specimens were sectioned into rectangular microspecimens and half of them were immediately subjected to μTBS testing, while the other half was tested after six months. Data were statistically analyzed using FFANOVA including the factors of material, treatment, and storage time, with α = 0.05. RESULTS: After one week, the lowest μTBS was observed for INT, while the highest was found for either mechanical (SB and CJ) or chemical (HF+Si) treatments (p < 0.05). After six months, a significant decrease in μTBS was observed depending on treatment (p < 0.05), while artificial aging significantly influenced the μTBS of all experimental groups (p < 0.05). During the two storage periods, the failure type was mainly interfacial and was associated with the type of surface modification. CONCLUSION: After artificial aging, the μTBS appeared to depend on srface modification, while the parameter ""material"" did not influence the results. Consequently, adhesive strategies should be oriented towards surface modification techniques.",2021,1,0,
206, Evaluation of the Effect of Different Surface Treatments on Luting CAD/CAM Composite Resin Overlay Workpieces,"E. M. Kassotakis, M. Stavridakis, T. Bortolotto, S. Ardu and I. Krejci", J Adhes Dent," PURPOSE: To evaluate the effect of different surface treatments on luting CAD/CAM composite resin workpieces. MATERIALS AND METHODS: One-hundred eight (108) composite CAD/CAM block sections (Lava Ultimate) 3 mm in thickness were polished up to 4000 grit and then randomly assigned to 6 experimental groups according to the applied surface treatment (no treatment, sodium bicarbonate [NaHCO3], glycine, alumina [Al2O3], CoJet, and SilJet). After standardized sandblasting procedures, 2 block sections from each group were randomly chosen for the qualitative SEM evaluation of the sandblasted surfaces. The remaining 96 CAD/CAM block sections were luted in pairs using a bonding agent (Single Bond) and a restorative composite resin (Filtek Ultimate). Specimens were aged for 2 weeks in 37°C water with 3000 thermal cycles (5°C/55°C), the microtensile test was performed (n = 30), and the values were statistically analyzed with ANOVA and Tukey's HSD post-hoc test (p = 0.05). RESULTS: The qualitative SEM evaluation of the sandblasted surfaces showed that sodium bicarbonate and glycine had almost no conditioning effect on the CAD/CAM composite resin. In contrast, aluminum oxide, CoJet, and SilJet had a profound conditioning effect on the CAD/CAM composite resin. No treatment, sodium bicarbonate, and glycine specimens were debonded after thermal stressing (0 MPa), while aluminum oxide, CoJet, and SilJet showed high microtensile values (Al2O3: 104.45 ± 18.76 MPa; CoJet: 105.55 ± 11.88 MPa; SilJet: 105.02 ± 20.84 MPa), which were not statistically significantly different from each other. CONCLUSION: Aluminum oxide-based sandblasting powders are the best choice for the surface treatment of CAD/ CAM workpieces.",2015,0,1,
497, The Effect of Surface Treatments on the Mechanical and Optical Behaviors of CAD/CAM Restorative Materials,"S. Kurtulmus-Yilmaz, E. Cengiz, S. Ongun and I. Karakaya", J Prosthodont," PURPOSE: To evaluate the effect of different surface treatments on mechanical and optical properties of lithium disilicate ceramic (IPS e.max CAD), 2 resin nanoceramics (Lava Ultimate, GC Cerasmart), and polymer-infiltrated ceramic network material (Vita Enamic). MATERIALS AND METHODS: CAD/CAM blocks were sectioned into 4 × 1 × 14 mm(3) bars for three-point bending test and 1 × 8 × 8 mm(3) square specimens were obtained for color and translucency measurements. Bar-shaped and square specimens were divided into five groups according to the surface treatment method as: control (no treatment), hydrofluoric acid etching, airborne-particle abrasion, 2 W and 3 W Er,Cr:YSGG laser irradiation (n = 10). Three-point bending test was carried out on a universal test machine with a 1 mm/min crosshead speed. Color and translucency measurements were performed with a spectrophotometer and repeated after surface treatments. Flexural strength, translucency parameter, and ΔE values were calculated and data were statistically analyzed using one-way ANOVA and Bonferroni post hoc tests. ΔE values >1.2 and >2.7 were considered as perceptible and unacceptable, respectively. RESULTS: All surface treatment methods decreased the flexural strength of all tested materials (P < 0.05) except for 2 W laser-irradiated and airborne-particle abraded Vita Enamic and 2 W laser irradiated Lava Ultimate (P > 0.05). Color changes of lithium disilicate specimens were not perceptible except for airborne-particle abraded specimens. All ΔE values of resin-based materials were above the perceptibility threshold. Acid-etched and 3 W laser-irradiated GC Vita Enamic specimens revealed unacceptable color changes. The translucencies of resin-based materials significantly decreased after all surface treatment applications. CONCLUSIONS: Surface treatments affected the flexural strength and optical properties of CAD/CAM restorative materials. Er,Cr:YSGG laser irradiation with 2 W energy level may be an alternative surface treatment method for CAD/CAM materials.",2019,1,0,
44, Bond strength of novel CAD/CAM restorative materials to self-adhesive resin cement: the effect of surface treatments,S. E. Elsaka, J Adhes Dent," PURPOSE: To evaluate the effect of different surface treatments on the microtensile bond strength (μTBS) of novel CAD/CAM restorative materials to self-adhesive resin cement. MATERIALS AND METHODS: Two types of CAD/CAM restorative materials (Vita Enamic [VE] and Lava Ultimate [LU]) were used. The specimens were divided into five groups in each test according to the surface treatment performed; Gr 1 (control; no treatment), Gr 2 (sandblasted [SB]), Gr 3 (SB+silane [S]), Gr 4 (hydrofluoric acid [HF]), and Gr 5 (HF+S). A dual-curing self-adhesive resin cement (Bifix SE [BF]) was applied to each group for testing the adhesion after 24 h of storage in distilled water or after 30 days using the μTBS test. Following fracture testing, specimens were examined with a stereomicroscope and SEM. Surface roughness and morphology of the CAD/CAM restorative materials were characterized after treatment. Data were analyzed using ANOVA and Tukey's test. RESULTS: The surface treatment, type of CAD/CAM restorative material, and water storage periods showed a significant effect on the μTBS (p<0.001). For the LU/BF system, there was no significant difference in the bond strength values between different surface treatments (p>0.05). On the other hand, for the VE/BF system, surface treatment with HF+S showed higher bond strength values compared with SB and HF surface treatments (p<0.05). Surface roughness and SEM analyses showed that the surface topography of CAD/CAM restorative materials was modified after treatments. CONCLUSION: The effect of surface treatments on the bond strength of novel CAD/CAM restorative materials to resin cement is material dependent. The VE/BF CAD/CAM material provided higher bond strength values compared with the LU/BF CAD/CAM material.",2014,0,0,
148, Effect of monolithic CAD-CAM ceramic thickness on resin cement polymerization: An in-vitro study,M. B. Donmez and M. T. Yucel, Am J Dent," PURPOSE: To evaluate the effect of different thicknesses of CAD-CAM ceramic sections on the polymerization of two different resin cements. METHODS: Three CAD-CAM all-ceramic restorative materials were sectioned with four different thicknesses. A total of 240 resin cement specimens were prepared from light cured and dual cure resin cements and absorption peaks were recorded. 10 samples of each resin cement were examined before and after polymerization and served as the control group. Data were analyzed using one-way ANOVA, independent t- and Tukey HSD tests (P< 0.05). RESULTS: Control group showed the highest DOC values while samples cured under Vita Enamic section with a thickness of 2 mm presented the lowest values (P< 0.05). Polymerization performed under sections of 0.5 and 1 mm thicknesses provided statistically higher values. Dual cured resin cement samples showed higher DOC values compared to light cured resin cement samples. IPS Empress CAD sections with 0.5 and 1 mm thickness exhibited statistically higher values than other ceramics of the same thickness for light cured resin cement samples. A significant difference was observed between IPS Empress CAD and Vita Enamic while comparing ceramic sections of the same thickness (P< 0.05). There was no difference for sections of 1.5 and 2 mm (P>> 0.05). CLINICAL SIGNIFICANCE: Thickness of the restorative material for an indirect restoration is a key element to determine the type of resin cement.",2019,1,0,
29, Adhesive luting to hybrid ceramic and resin composite CAD/CAM Blocks:Er:YAG Laser versus chemical etching and micro-abrasion pretreatment,"H. M. El-Damanhoury, A. E. N, S. Sheela and M. D. Gaintantzopoulou", J Prosthodont Res," PURPOSE: To evaluate the effect of Er:YAG laser on the roughness, surface topography, and bond strength to resin luting cement based on chemical and micro-abrasion pretreatments of different computer-aided design/computer-aided manufacturing materials. METHODS: A polymer-infiltrated-ceramic-network (PICN) material (Vita Enamic, VE), three indirect resin composite (Cerasmart, CS; Shofu HC, SH; Lava Ultimate, LU), and one lithium disilicate ceramic (IPS e.max CAD, EM) blocks were subjected to one of the following pretreatments: no treatment (NC ), Er:YAG etching with one of two powers (either 3 or 6 W), hydrofluoric acid (HF) etching, self-etching ceramic primer (ME), or micro-abrasion (MA). The shear bond strength (SBS) of resin luting cement to pretreated materials was tested. Surface roughness was measured via atomic force microscopy, and surface topography was analyzed via scanning electron microscopy. Two-way analysis of variance, Tukey post-hoc test, and Pearson correlation were applied. RESULTS: Etching EM and VE with HF or the ME resulted in the highest SBS values in their groups (P < 0.05). LU, SH, VE, and CS indicated similar SBS values when treated with 3 W, 6 W, and MA. The highest surface roughness (Sa ) values were obtained for the LU, CS, and VE groups when treated with 6 W, whereas the lowest Sa values were obtained for CS when treated with the ME and EM when treated with the ME or 3 W. Only SH and CS indicated a significant correlation between surface rough ness and bond strength. CONCLUSIONS: Er:YAG laser etching is comparable to micro-abrasion when treating resin composite blocks and may induce fewer surface cracks. HF etching remains the gold standard for the treatment of glass-based ceramics and PICNs.",2021,1,1,
